md5,title,author,categories,url,match_tier,match_reason,matched_author_id,matched_work_title,matched_query
0007606f826302c8a111e44f7f0286ef,"Designing Matrix Organizations that Actually Work: How IBM, Procter & Gamble and Others Design for Success (Jossey-Bass Business & Management)",,Triple Design Matrix DreamRave,https://annas-archive.org/md5/0007606f826302c8a111e44f7f0286ef,query,search_query_substring,,,Triple Design Matrix DreamRave
0021b8d267f05273a37d8c4ab3d2ca7f,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are so You Can Become Who You Were Meant to Be",Girl,Chetan Parkyn Human Design: Discover the Person You Were Born to Be|Jenna Zoë Human Design: The Revolutionary System That Shows You Who You Came Here to Be,https://annas-archive.org/md5/0021b8d267f05273a37d8c4ab3d2ca7f,work,work_overlap:1.00,auth_chetan_parkyn,Human Design: Discover the Person You Were Born to Be,
002632c3882cc7a8b9c26b4ab94e91e3,"The Joy of Less, A Minimalist Living Guide: How to Declutter, Organize, and Simplify Your Life",The Joy of Less,Lynda Bunnell Living Your Design Student Manual,https://annas-archive.org/md5/002632c3882cc7a8b9c26b4ab94e91e3,work,work_overlap:1.00,auth_lynda_bunnell,Living Your Design Student Manual,
008c1e55aff875beb4a1de5975f27bd3,System 80+ Standard [nucl. powerplnt] Design,Vol 18,Human Design Revolutionary System|Human Design System Centres Schoeber,https://annas-archive.org/md5/008c1e55aff875beb4a1de5975f27bd3,work,work_overlap:0.67,auth_peter_schoeber,Human Design System – The Centres,
009862b6d411b6cce2f9253761ae7684,Mit dem Fahrstuhl in die Römerzeit,,Eleanor Haspel-Portner,https://annas-archive.org/md5/009862b6d411b6cce2f9253761ae7684,query,search_query_substring,,,Eleanor Haspel-Portner
00a06019d4590a7148d742d52933a9ba,Healthy Living Centres : A Guide to Primary Health Care Design,"designers through international examples and illustrations and inspire your own designs* explore the relationship between the architectural and medical professions and learn how best to provide for both the designer and the clientread more…english [en] · pdf · 46.8mb · 2002 · 📘 book (non-fiction) · 🚀/lgli/lgrs/nexusstc/zlib    ·save·8·2base score: 11065.0, final score: 22.524567",Human Design System Centres Schoeber,https://annas-archive.org/md5/00a06019d4590a7148d742d52933a9ba,work,work_overlap:0.67,auth_peter_schoeber,Human Design System – The Centres,
00ac4bb79abfbaca4e1e7e4334d33ad2,ANALYSIS OF PRESSURE SURGES IN LONG PIPE LINES DUE TO GRADUAL STOPPAGE OF FLOW,ANALYSIS OF PRESSURE SURGES IN LONG PIPE LINES DUE TO GRADUAL STOPPAGE OF FLOW.pdf,Book of Lines Parkyn,https://annas-archive.org/md5/00ac4bb79abfbaca4e1e7e4334d33ad2,query,search_query_substring,,,Book of Lines Parkyn
00c757c7d1b38e708057529ea3bc612b,Первый гражданин Вселенной._119619258.pdf,,Rave Cosmology,https://annas-archive.org/md5/00c757c7d1b38e708057529ea3bc612b,query,search_query_substring,,,Rave Cosmology
00ee30b0cade1111113c190e5495933d,Connecting with Grieving Clients: Supportive Communication for 14 Common Situations,Dealing with crises and emergencies  - Delivering bad news  - Euthanasia decision-making  - Grief responses to pet loss  - Clients guilt  - Non-euthanasia and sudden deaths  - Helping children,Understanding Clients Human Design,https://annas-archive.org/md5/00ee30b0cade1111113c190e5495933d,query,search_query_substring,,,Understanding Clients Human Design
00f3848700fdc92aa6cb3cb0f9cdfa28,PRIMARY HEALTH SYSTEM,PRIMARY HEALTH SYSTEM -  The Mechanics of the Vehicle,Human Design Health Haspel|Human Design System Ra|Peter Schoeber Das Human Design System – Die Zentren|Prophecy Ra Uru Hu Rhodes|Ra Uru Hu|Ra Uru Hu Generator Book|Ra Uru Hu Line Resonance|Ra Uru Hu Rave BodyGraph Circuitry|Ra Uru Hu Rave I'Ching Line Companion|Ra Uru Hu The Complete Rave I'Ching|Ra Uru Hu The Nine Centres and their Gates|Ra Uru Hu The Rave I'Ching,https://annas-archive.org/md5/00f3848700fdc92aa6cb3cb0f9cdfa28,work,work_overlap:1.00,auth_ra_uru_hu,The Rave I'Ching,
010a8b4c3d3fcd7bb5187802525827cb,Bible Revealed: Understanding Historical Bible Truths,Bible Revealed: Understanding Historical Bible Truths,Human Design Revealed Dickson,https://annas-archive.org/md5/010a8b4c3d3fcd7bb5187802525827cb,query,search_query_substring,,,Human Design Revealed Dickson
018579381225638ba8d065449caf9cba,Curry,fire and spice. Over 150 great curries from India and Asia/018579381225638ba8d065449caf9cba.pdf,Karen Curry Parker,https://annas-archive.org/md5/018579381225638ba8d065449caf9cba,work,work_overlap:0.75,auth_karen_curry_parker,Abundance by Design,
019355a7d150c3e748e1b98c8295b97f,"Advances in Understanding Human Performance: Neuroergonomics, Human Factors Design, and Special Populations",that it is thought provoking. We hope it inspires,Robin Winn Understanding Your Clients Through Human Design|Robin Winn Understanding the Centers in Human Design,https://annas-archive.org/md5/019355a7d150c3e748e1b98c8295b97f,work,work_overlap:1.00,auth_robin_winn,Understanding Your Clients Through Human Design,
01b80f3d1fbc9c53e5f0c0e4f0b8506d,The Keys To Getting Your Prayers Answered Principles Of Effective Prayer,Benny Williams.pdf,Richard Rudd The Gene Keys: Embracing Your Higher Purpose,https://annas-archive.org/md5/01b80f3d1fbc9c53e5f0c0e4f0b8506d,work,work_overlap:1.00,auth_richard_rudd,The Gene Keys: Embracing Your Higher Purpose,
020ab43bcce8fec9d7175acd64b384af,Etymologischer Gossip : Essays und Reden_119525009.pdf,,Uljana Daitche,https://annas-archive.org/md5/020ab43bcce8fec9d7175acd64b384af,work,work_overlap:0.67,auth_uljana_daitche,Human Design - Beziehungen,
021d4cf7b11254ae55503a6a41be33c3,How to Analyze People: Decoding Human Behavior and Body Language So You Can Read People Like a Book Effortlessly,How to Analyze People: Decoding Human Behavior and Body Language So You Can Read People Like a Book Effortlessly,Steve Rhodes Human Design: How to Read a Graph,https://annas-archive.org/md5/021d4cf7b11254ae55503a6a41be33c3,work,work_overlap:1.00,auth_steve_rhodes,Human Design: How to Read a Graph,
02be3755cbc0bf4f685fbd6fbadfc60f,"An Alternative Curry Cookbook: Discover a New Form of Curry with Delicious Oriental Curry Recipes, Seafood Curry Recipes, and Fruit Curries (2nd Edition)",,Karen Curry Parker,https://annas-archive.org/md5/02be3755cbc0bf4f685fbd6fbadfc60f,work,work_overlap:0.75,auth_karen_curry_parker,Abundance by Design,
02c07d826099b19160f39bfbc93e4b7b,2022 Quantum Human Design Evolution Guide: Using Solar Transits to Design Your Year,,64keys Human Design|Beyond Human Design|Chetan Parkyn Human Design|Chiron Ephemeris Human Design|Daitche Human Design|Emma Dunwoody Human Design|Jenna Zoe Human Design|Karen Curry Human Design|Karen Curry Parker|Karen Curry Parker The Encyclopedia of Quantum Human Design|Karen Curry Parker Understanding Human Design: The New Science of Astrology|Living Your Design Bunnell|Quantum Human Design|Richard Rudd Human Design|Robin Winn Human Design|Robin Winn Understanding Your Clients Through Human Design|Steve Rhodes Human Design|Understanding Centers Human Design|Understanding Clients Human Design|Understanding Human Design|Zen Human Design Ephemeris|Zeno Dickson Human Design,https://annas-archive.org/md5/02c07d826099b19160f39bfbc93e4b7b,work,work_overlap:1.00,auth_karen_curry_parker,Understanding Human Design: The New Science of Astrology,
02edac573a467269071ed0fb26faf79e,Shoulder-Belt Plates and Buttons,350 pgs. For over 30 years this was the only book on this subject. It places on record some of the many changes in the design of the shoulder-belt plates and buttons worn by the British Army. It gives details of change in titles,Book of Destinies Parkyn|Book of Lines Parkyn|Chetan Parkyn|Chetan Parkyn Human Design,https://annas-archive.org/md5/02edac573a467269071ed0fb26faf79e,query,search_query_substring,,,Chetan Parkyn Human Design
