md5,title,author,categories,url,match_tier,match_reason,matched_author_id,matched_work_title,matched_query
07471b79b7beaf016c62abe91f631b2d,"EFFECTIVE COMMUNICATION SKILLS: The Nine-Keys Guidebook for Developing the Art of Persuasion through Public Speaking, Social Intelligence, Verbal Dexterity, Charisma, and Eloquence",EFFECTIVE COMMUNICATION SKILLS: The Nine-Keys Guidebook for Developing the Art of Persuasion through Public Speaking,Gene Keys,https://annas-archive.org/md5/07471b79b7beaf016c62abe91f631b2d,noise,no_registry_signal,,,
1915268edcccf05c36db4891b724638a,newsarch_ebooks_2025_10,,Gene Keys,https://annas-archive.org/md5/1915268edcccf05c36db4891b724638a,noise,no_registry_signal,,,
1f67a151bc0254cc2dc34950e82167a7,Bibliotheca Alexandrina [UPDATED FEB 2023],,Gene Keys,https://annas-archive.org/md5/1f67a151bc0254cc2dc34950e82167a7,noise,no_registry_signal,,,
3d7b8c4866a14d27d1523a20aa16ba2d,The Biology of Human Starvation,,Gene Keys,https://annas-archive.org/md5/3d7b8c4866a14d27d1523a20aa16ba2d,noise,no_registry_signal,,,
3f9764875f84bfe0036494fe520a3864,4,More Books on Conspiracy Theory/! Conspiracy/ebooks/Manly P Hall - The Lost Keys of Freemasonry or The Secret of Hiram Abiff.pdf,Gene Keys,https://annas-archive.org/md5/3f9764875f84bfe0036494fe520a3864,noise,no_registry_signal,,,
3fb96994086523e906f3f066a32a59f9,YOGA ANATOMY’S KEYS: The Functional Guide for Beginners,"simply using the power of your mind, healing body movements and yoga poses?",Gene Keys,https://annas-archive.org/md5/3fb96994086523e906f3f066a32a59f9,noise,no_registry_signal,,,
416b666027392bf3ae94685addb09c58,Solutions Intermediate (Workbook Keys),,Gene Keys,https://annas-archive.org/md5/416b666027392bf3ae94685addb09c58,noise,no_registry_signal,,,
46a810bb0c62937700be4846671feee6,Everyday VOCABULARY + Grammar: For Intermediate Students: The KEYS. Учебное пособие,Everyday VOCABULARY + Grammar: For Intermediate Students: The KEYS. Учебное пособие.pdf,Gene Keys,https://annas-archive.org/md5/46a810bb0c62937700be4846671feee6,noise,no_registry_signal,,,
502d696c645e42f803b52d5f9cbeaff7,Basic English,The Easy Way,Gene Keys,https://annas-archive.org/md5/502d696c645e42f803b52d5f9cbeaff7,noise,no_registry_signal,,,
5236720b7bab3cdc53971acef0de941e,Everyday Vocabulary + Grammar: For Intermediate Students: The KEYS. Учебное пособие,,Gene Keys,https://annas-archive.org/md5/5236720b7bab3cdc53971acef0de941e,noise,no_registry_signal,,,
536b4c22b15dbd0c7a5648d795a94b44,5. Ancient & Classical Civilizations Series,,Gene Keys,https://annas-archive.org/md5/536b4c22b15dbd0c7a5648d795a94b44,noise,no_registry_signal,,,
