curriculum_id,author_id,author_name,work_title,priority,werk_kategorie,anna_archive_likely,best_md5,best_asset_title,match_score,coverage_status
auth_ra_uru_hu::the_rave_i_ching,auth_ra_uru_hu,Ra Uru Hu,The Rave I'Ching,high,A,true,bb1ced1468705ddbd18f7b7817702c0b,Quarters and Angles,1.000,found_candidate
auth_ra_uru_hu::the_human_design_system_black_book,auth_ra_uru_hu,Ra Uru Hu,The Human Design System (Black Book),high,A,true,995decaa009e09a3176d44f1dd0d2cc0,The Geometry Of The Universe_115244355.pdf,1.000,found_candidate
auth_ra_uru_hu::from_the_book_of_letters_white_book,auth_ra_uru_hu,Ra Uru Hu,From the Book of Letters (White Book),high,A,true,,from The Book of Letters,0.500,not_found
auth_ra_uru_hu::the_nine_centres_and_their_gates,auth_ra_uru_hu,Ra Uru Hu,The Nine Centres and their Gates,high,A,true,bb1ced1468705ddbd18f7b7817702c0b,Quarters and Angles,1.000,found_candidate
auth_ra_uru_hu::keynotes_circuits_channels_and_gates,auth_ra_uru_hu,Ra Uru Hu,"Keynotes: Circuits, Channels and Gates",high,A,true,,The Life Force,0.500,not_found
auth_ra_uru_hu::channels_by_type_1_creative_channels,auth_ra_uru_hu,Ra Uru Hu,Channels by Type 1: Creative Channels,high,A,true,f39d968502133638202cadb5a8825365,Channels by Type 1,1.000,found_candidate
auth_ra_uru_hu::channels_by_type_2_manifesting_generating_channels,auth_ra_uru_hu,Ra Uru Hu,Channels by Type 2: Manifesting/Generating Channels,high,A,true,c82406a22498c8d94195c2e2f22c3dfc,Channels by Type 2,1.000,found_candidate
auth_ra_uru_hu::channels_by_type_3_projected_channels,auth_ra_uru_hu,Ra Uru Hu,Channels by Type 3: Projected Channels,high,A,true,6cc16e4a7ebedfa4ccab548d2004cbf9,Channels by Type 3,1.000,found_candidate
auth_ra_uru_hu::channels_by_type_4_transit_program,auth_ra_uru_hu,Ra Uru Hu,Channels by Type 4: Transit Program,high,A,true,65e4c037d1db12b49e49b567cb6b0a0e,Channels by Type 4,1.000,found_candidate
auth_ra_uru_hu::the_rave_encyclopedia_abc_course,auth_ra_uru_hu,Ra Uru Hu,The Rave Encyclopedia (ABC Course),medium,C,true,,Understanding the Planets in our Design,0.500,not_found
auth_ra_uru_hu::the_global_incarnation_index,auth_ra_uru_hu,Ra Uru Hu,The Global Incarnation Index,medium,A,true,,Incarnation Crosses by Profile (Complete),0.333,not_found
auth_ra_uru_hu::rave_bodygraph_circuitry,auth_ra_uru_hu,Ra Uru Hu,Rave BodyGraph Circuitry,high,A,true,bb1ced1468705ddbd18f7b7817702c0b,Quarters and Angles,1.000,found_candidate
auth_ra_uru_hu::the_complete_rave_i_ching,auth_ra_uru_hu,Ra Uru Hu,The Complete Rave I'Ching,high,A,true,bb1ced1468705ddbd18f7b7817702c0b,Quarters and Angles,1.000,found_candidate
auth_ra_uru_hu::rave_i_ching_line_companion,auth_ra_uru_hu,Ra Uru Hu,Rave I'Ching Line Companion,high,A,true,bb1ced1468705ddbd18f7b7817702c0b,Quarters and Angles,1.000,found_candidate
auth_ra_uru_hu::profile_and_type_reference_book,auth_ra_uru_hu,Ra Uru Hu,Profile and Type Reference Book,medium,A,true,,Incarnation Crosses by Profile (Complete),0.333,not_found
auth_ra_uru_hu::generator_book,auth_ra_uru_hu,Ra Uru Hu,Generator Book,medium,B,true,bb1ced1468705ddbd18f7b7817702c0b,Quarters and Angles,1.000,found_candidate
auth_ra_uru_hu::love_book_connectivity_relationships_love_life,auth_ra_uru_hu,Ra Uru Hu,"Love Book: Connectivity, Relationships, Love & Life",medium,B,true,f27dc51cf549ee5178e243de8ec54618,Your Soul's Love: Living the Love You Planned Before You Were Born,0.750,found_candidate
auth_ra_uru_hu::sexuality_manual,auth_ra_uru_hu,Ra Uru Hu,Sexuality Manual,medium,B,true,,Holistic Analysis 2 Diagnostics 2,0.500,not_found
auth_ra_uru_hu::line_resonance,auth_ra_uru_hu,Ra Uru Hu,Line Resonance,medium,A,true,bb1ced1468705ddbd18f7b7817702c0b,Quarters and Angles,1.000,found_candidate
auth_ra_uru_hu::many_faces_of_fear,auth_ra_uru_hu,Ra Uru Hu,Many Faces of Fear,medium,A,true,,The Theology of Medicine and the Unique Design of the Human Body,0.333,not_found
auth_ra_uru_hu::roads_and_tunnels,auth_ra_uru_hu,Ra Uru Hu,Roads and Tunnels,medium,A,true,,,0.000,not_found
auth_ra_uru_hu::the_differentiation_lectures,auth_ra_uru_hu,Ra Uru Hu,The Differentiation Lectures,medium,A,true,,Projector Empowerment,0.500,not_found
auth_ra_uru_hu::the_life_force_channels,auth_ra_uru_hu,Ra Uru Hu,The Life Force: Channels,medium,A,true,e337cd77184eceaff99d44bf2fd78d68,The Life Force,1.000,found_candidate
auth_ra_uru_hu::design_humain_la_science_de_la_diff_renciation,auth_ra_uru_hu,Ra Uru Hu,Design Humain: La Science de la Différenciation,low,A,true,,Design Resonance Mapping,0.250,not_found
auth_ra_uru_hu::il_proiettore_vivi_il_tuo_successo,auth_ra_uru_hu,Ra Uru Hu,Il Proiettore: Vivi il tuo Successo,low,B,true,,,0.000,not_found
auth_lynda_bunnell::human_design_the_definitive_book_of_human_design_the_science_of_differentiation,auth_lynda_bunnell,Lynda Bunnell,"Human Design: The Definitive Book of Human Design, The Science of Differentiation",high,A,true,d3c91994edc8c417c5d4430e5d82688a,Design Resonance Mapping,1.000,found_candidate
auth_lynda_bunnell::living_your_design_student_manual,auth_lynda_bunnell,Lynda Bunnell,Living Your Design Student Manual,medium,C,true,3b88c9681c859d6532d6ea06a3946e25,BG5 Career and Business Consulting,1.000,found_candidate
auth_lynda_bunnell::human_design_rave_i_ching_card_deck,auth_lynda_bunnell,Lynda Bunnell,"Human Design, Rave I'Ching Card Deck",low,B,false,3a092013788b8b95fe07669760d2e102,Diseño Humano,0.667,found_candidate
auth_lynda_bunnell::dise_o_humano_el_revolucionario_sistema_de_autoconocimiento,auth_lynda_bunnell,Lynda Bunnell,Diseño humano: El revolucionario sistema de autoconocimiento,low,A,true,3a092013788b8b95fe07669760d2e102,Diseño Humano,0.571,found_candidate
auth_chetan_parkyn::human_design_discover_the_person_you_were_born_to_be,auth_chetan_parkyn,Chetan Parkyn,Human Design: Discover the Person You Were Born to Be,high,B,true,2d6de6636a4de3466c273b498f7ce449,Human Design: Discover the Person You Were Born to Be,1.000,found_candidate
auth_chetan_parkyn::the_book_of_destinies_discover_the_life_you_were_born_to_live,auth_chetan_parkyn,Chetan Parkyn,The Book of Destinies: Discover the Life You Were Born to Live,medium,B,true,2d6de6636a4de3466c273b498f7ce449,Human Design: Discover the Person You Were Born to Be,1.000,found_candidate
auth_chetan_parkyn::the_book_of_lines_a_21st_century_view_of_the_i_ching,auth_chetan_parkyn,Chetan Parkyn,The Book of Lines: A 21st Century View of the I Ching,medium,B,true,0fa06c7ada472d30c1c33215a2bc3f2e,"The Book of Lines: A 21st Century View of the IChing, the Chinese Book of Changes (Discover the Person You Were Born To Be)",1.000,found_candidate
auth_chetan_parkyn::human_design_entdecke_die_person_die_du_wirklich_bist,auth_chetan_parkyn,Chetan Parkyn,"Human Design: Entdecke die Person, die Du wirklich bist",medium,B,true,2de9662d3d6125a1a479572285233125,"Human Design: Entdecke die Person, die du wirklich bist (German Edition)",1.000,found_candidate
auth_karen_curry_parker::understanding_human_design_the_new_science_of_astrology,auth_karen_curry_parker,Karen Curry Parker,Understanding Human Design: The New Science of Astrology,high,B,true,65e4c037d1db12b49e49b567cb6b0a0e,Channels by Type 4,1.000,found_candidate
auth_karen_curry_parker::the_encyclopedia_of_quantum_human_design,auth_karen_curry_parker,Karen Curry Parker,The Encyclopedia of Quantum Human Design,high,A,true,0b561f7a535cf15bcbdb4593dd821b61,The Beauty Of Your Human Design Life Chart,1.000,found_candidate
auth_karen_curry_parker::abundance_by_design,auth_karen_curry_parker,Karen Curry Parker,Abundance by Design,low,B,true,8b71d2deb4de3c645e98fe869b3758f9,8b71d2deb4de3c645e98fe869b3758f9.pdf,1.000,found_candidate
auth_karen_curry_parker::human_design_activation_guide,auth_karen_curry_parker,Karen Curry Parker,Human Design Activation Guide,low,C,true,917d6c150b197216c43057f65515b7f2,Quantum Activation Cards Companion Guidebook,1.000,found_candidate
auth_karen_curry_parker::human_design_einfach_erkl_rt_entschl_ssle_deinen_lebensplan,auth_karen_curry_parker,Karen Curry Parker,Human Design – einfach erklärt: Entschlüssle deinen Lebensplan,medium,B,true,,Channels by Type 4,0.333,not_found
auth_jenna_zoe::human_design_the_revolutionary_system_that_shows_you_who_you_came_here_to_be,auth_jenna_zoe,Jenna Zoë,Human Design: The Revolutionary System That Shows You Who You Came Here to Be,high,B,true,91a83be6fd080f416dd5b784ca783d2f,THE HUMAN DESIGN SYSTEM,1.000,found_candidate
auth_jenna_zoe::dise_o_humano_esencial,auth_jenna_zoe,Jenna Zoë,Diseño humano esencial,low,B,true,,Diseño Humano,0.500,not_found
auth_uljana_daitche::grundlagen_des_human_designs_das_gro_e_handbuch,auth_uljana_daitche,Uljana Daitche,Grundlagen des Human Designs: das große Handbuch,high,C,true,c4406709e6d054f68013c44f9353b1b0,"Der Albert N'yanza, das große Becken des Nil, und die Erforschung der Nilquellen",0.714,found_candidate
auth_uljana_daitche::die_384_linien_der_64_tore_das_gro_e_human_design_handbuch,auth_uljana_daitche,Uljana Daitche,Die 384 Linien der 64 Tore: das große Human Design Handbuch,high,A,true,f17cb1c8603fb6e1e64a5603c04d5a88,"Handbuch über die Kenntnis, Erzeugung, Behandlung und Verrechnung der Gewehre und Munition sowie über das Scheibenschießen bei den k. k. österreichischen Linien-Infanterie-Regimentern",1.000,found_candidate
auth_uljana_daitche::kan_le_str_me_schaltkreise_im_human_design,auth_uljana_daitche,Uljana Daitche,"Kanäle, Ströme & Schaltkreise: im Human Design",high,A,true,,"Handbuch über die Kenntnis, Erzeugung, Behandlung und Verrechnung der Gewehre und Munition sowie über das Scheibenschießen bei den k. k. österreichischen Linien-Infanterie-Regimentern",0.400,not_found
auth_uljana_daitche::variablen_im_human_design_teil_1_die_pfeile,auth_uljana_daitche,Uljana Daitche,Variablen im Human Design: Teil 1 — Die Pfeile,high,A,true,bdd864c96c7ef7afe7e0b3a8056dfeab,Über die vierfach periodischen Funktionen zweier Variablen (1834),1.000,found_candidate
auth_uljana_daitche::variablen_im_human_design_teil_2_phs_determination_ern_hrung_umgebung,auth_uljana_daitche,Uljana Daitche,"Variablen im Human Design: Teil 2 — PHS, Determination, Ernährung, Umgebung",high,A,true,b740974c6a83c5105e57c99fa76566da,Die deutschen Kolonisten im brasilianischen Staate Espirito Santo: Die Ansiedlung von Europäern in den Tropen. Fünfter Teil. (Schriften des Vereins für Sozialpolitik 147,0.556,found_candidate
auth_uljana_daitche::variablen_im_human_design_teil_3_rave_psychologie_perspektive_motivation,auth_uljana_daitche,Uljana Daitche,"Variablen im Human Design: Teil 3 — Rave Psychologie, Perspektive, Motivation",high,A,true,,Über die vierfach periodischen Funktionen zweier Variablen (1834),0.500,not_found
auth_uljana_daitche::das_buch_der_192_inkarnationskreuze_im_human_design,auth_uljana_daitche,Uljana Daitche,Das Buch der 192 Inkarnationskreuze: im Human Design,medium,A,true,17309759fd1809734b2059e6bc3f7c95,Mein gesunder Hund. Das große Hunde Buch,0.600,found_candidate
auth_uljana_daitche::mondknotenkonstellationen_im_human_design_die_32_kombinationen_nach_ra_uru_hu,auth_uljana_daitche,Uljana Daitche,Mondknotenkonstellationen im Human Design: die 32 Kombinationen nach Ra Uru Hu,medium,A,true,,"Die Devalvierung des österreichischen Papiergeldes im Jahre 1811. Eine finanzgeschichtliche Darstellung nach archivalischen Quellen: Geschichte der Stabilisierungsversuche, hrsg. von Melchior Palyi, e",0.500,not_found
auth_uljana_daitche::human_design_beziehungen,auth_uljana_daitche,Uljana Daitche,Human Design - Beziehungen,medium,B,true,f17cb1c8603fb6e1e64a5603c04d5a88,"Handbuch über die Kenntnis, Erzeugung, Behandlung und Verrechnung der Gewehre und Munition sowie über das Scheibenschießen bei den k. k. österreichischen Linien-Infanterie-Regimentern",0.667,found_candidate
auth_uljana_daitche::der_liebescode_die_10_tore_der_liebe_im_human_design,auth_uljana_daitche,Uljana Daitche,Der Liebescode: die 10 Tore der Liebe im Human Design,medium,B,true,f17cb1c8603fb6e1e64a5603c04d5a88,"Handbuch über die Kenntnis, Erzeugung, Behandlung und Verrechnung der Gewehre und Munition sowie über das Scheibenschießen bei den k. k. österreichischen Linien-Infanterie-Regimentern",0.600,found_candidate
