wave,queue_order,system_id,rolle,status_pipeline,filename,relative_path,pass_k2_struct,pass_k3_rules,pass_k4_meanings,pass_notes
0,0,bazi,K2_ref,done_s5_s6,"BaZi - Bazi - The Destiny Code COMBINED Book 1 and Book 2 - -- Joey Yap -- 2nd Edition edition, February 1, 2005 -- Joey Yap Research Group -- isbn13 9789833332014 -- 58c78ecd41275b1fb96c60f0948ad25.pdf","bazi/K2+K3/BaZi - Bazi - The Destiny Code COMBINED Book 1 and Book 2 - -- Joey Yap -- 2nd Edition edition, February 1, 2005 -- Joey Yap Research Group -- isbn13 9789833332014 -- 58c78ecd41275b1fb96c60f0948ad25.pdf",yes,yes,optional,K2+K3 priorisieren; K4 optional.
0,0,genekeys,K3_deutung,done_s5_s6,Opening Doors with Gene Keys -- Richard Rudd -- 2014 -- 30c725f0604a1b346e69570741fcc7ae -- Anna’s Archive.pdf,gene_keys/Opening Doors with Gene Keys -- Richard Rudd -- 2014 -- 30c725f0604a1b346e69570741fcc7ae -- Anna’s Archive.pdf,yes,yes,yes,Alle Paesse.
0,0,genekeys,K3_deutung,done_s5_s6,"The 64 Ways_ Personal Contemplations on the Gene Keys -- Rudd, Richard -- 2022 -- Gene Keys Publishing -- 51a66a5b3b946c01b181b66551025f2c -- Anna’s Archive.epub","gene_keys/The 64 Ways_ Personal Contemplations on the Gene Keys -- Rudd, Richard -- 2022 -- Gene Keys Publishing -- 51a66a5b3b946c01b181b66551025f2c -- Anna’s Archive.epub",yes,yes,yes,Alle Paesse.
0,0,hd,K2_ref,done_s5_s6,The Complete Rave I'Ching -- Ra Uru Hu -- 2011 -- Human Design America -- 9daaa92ce652fb06739333271bf7f3fe -- Anna’s Archive.pdf,hd/The Complete Rave I'Ching -- Ra Uru Hu -- 2011 -- Human Design America -- 9daaa92ce652fb06739333271bf7f3fe -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
0,0,hd,K2_ref,done_s5_s6,The Life Force - The Channels -- Ra Uru Hu -- 0709f47812468b7c9765dc7de254234a -- Anna’s Archive.pdf,hd/The Life Force - The Channels -- Ra Uru Hu -- 0709f47812468b7c9765dc7de254234a -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,1,hd,K2_ref,queued,BG5 Career and Business Consulting - Student Manual 1 -- Ra Uru Hu -- International Human Design School -- 3b88c9681c859d6532d6ea06a3946e25 -- Anna’s Archive.pdf,hd/BG5 Career and Business Consulting - Student Manual 1 -- Ra Uru Hu -- International Human Design School -- 3b88c9681c859d6532d6ea06a3946e25 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,2,hd,K2_ref,queued,"Biology Design System -- Ra Uru Hu, Eleanor Haspel, Marvin Portner -- 2000 -- c9ac38146181060890f5690d4ab5f0cc -- Anna’s Archive.pdf","hd/Biology Design System -- Ra Uru Hu, Eleanor Haspel, Marvin Portner -- 2000 -- c9ac38146181060890f5690d4ab5f0cc -- Anna’s Archive.pdf",yes,yes,yes,Ra-Linie: drei Paesse.
1,3,hd,K2_ref,queued,"Channels by Type 2 - Manifesting and Generating Channels -- Ra Uru Hu -- Channels by Type 2, 2015 -- HDC Publishing, Inc_ -- isbn13 9780988932319 -- c82406a22498c8d94195c2e2f22c3dfc -- Anna’s Archive.pdf","hd/Channels by Type 2 - Manifesting and Generating Channels -- Ra Uru Hu -- Channels by Type 2, 2015 -- HDC Publishing, Inc_ -- isbn13 9780988932319 -- c82406a22498c8d94195c2e2f22c3dfc -- Anna’s Archive.pdf",yes,yes,yes,Ra-Linie: drei Paesse.
1,4,hd,K2_ref,queued,"Channels by Type 3 - Projected Channels -- Ra Uru Hu -- Channels by Type 3, 2015 -- HDC Publishing, Inc_ -- isbn13 9780988932319 -- 6cc16e4a7ebedfa4ccab548d2004cbf9 -- Anna’s Archive.pdf","hd/Channels by Type 3 - Projected Channels -- Ra Uru Hu -- Channels by Type 3, 2015 -- HDC Publishing, Inc_ -- isbn13 9780988932319 -- 6cc16e4a7ebedfa4ccab548d2004cbf9 -- Anna’s Archive.pdf",yes,yes,yes,Ra-Linie: drei Paesse.
1,5,hd,K2_ref,queued,"Channels by Type 4 - Understanding the Transit Program -- Ra Uru Hu -- Channels by Type 4, 2015 -- HDC Publishing, Inc_ -- isbn13 9780988932319 -- 65e4c037d1db12b49e49b567cb6b0a0e -- Anna’s Archive.pdf","hd/Channels by Type 4 - Understanding the Transit Program -- Ra Uru Hu -- Channels by Type 4, 2015 -- HDC Publishing, Inc_ -- isbn13 9780988932319 -- 65e4c037d1db12b49e49b567cb6b0a0e -- Anna’s Archive.pdf",yes,yes,yes,Ra-Linie: drei Paesse.
