"filename","relative_path","system_id","status","pass_k2_struct","pass_k3_rules","pass_k4_meanings","pass_notes"
"2022 Quantum Human Design Evolution Guide_ Using Solar -- Karen Curry Parker -- 2022 -- Human Design Press -- 02c07d826099b19160f39bfbc93e4b7b -- Anna’s Archive.pdf","andere/2022 Quantum Human Design Evolution Guide_ Using Solar -- Karen Curry Parker -- 2022 -- Human Design Press -- 02c07d826099b19160f39bfbc93e4b7b -- Anna’s Archive.pdf","hd","ok","optional","yes","yes","Nicht-Ra: K3/K4 priorisieren."
"Abundance by Design -- Karen Curry Parker -- 2016 -- GracePoint Matrix, LLC -- 7d15b7564a6b0884606cf125f9b2d80b -- Anna’s Archive.pdf","andere/Abundance by Design -- Karen Curry Parker -- 2016 -- GracePoint Matrix, LLC -- 7d15b7564a6b0884606cf125f9b2d80b -- Anna’s Archive.pdf","hd","ok","optional","yes","yes","Nicht-Ra: K3/K4 priorisieren."
"BaanTu_ The Key to Your Nature and Life 1 -- Steve Rhodes -- The Human Design Trilogy, 1, 3, 2015 -- RME Publishing -- 5692198d2741d2298007eec1b5278850 -- Anna’s Archive.pdf","andere/BaanTu_ The Key to Your Nature and Life 1 -- Steve Rhodes -- The Human Design Trilogy, 1, 3, 2015 -- RME Publishing -- 5692198d2741d2298007eec1b5278850 -- Anna’s Archive.pdf","hd","ok","optional","yes","yes","Nicht-Ra: K3/K4 priorisieren."
"How Do You Choose_ -- Erin Claire Jones -- 2025 -- HarperCollins -- 7db4160418580ac8fd422e29bdd3142d -- Anna’s Archive.epub","andere/How Do You Choose_ -- Erin Claire Jones -- 2025 -- HarperCollins -- 7db4160418580ac8fd422e29bdd3142d -- Anna’s Archive.epub","unclassified","manuell_pruefen","manual_first","manual_first","manual_first","Manuell pruefen vor Extraktion."
"Human Design Made Simple_ Unlock Your Strengths and Discover -- Emma Dunwoody -- 2025 -- Penguin Publishing Group -- d6aa37ca4a12ffeb0febf87186efa0bb -- Anna’s Archive.epub","andere/Human Design Made Simple_ Unlock Your Strengths and Discover -- Emma Dunwoody -- 2025 -- Penguin Publishing Group -- d6aa37ca4a12ffeb0febf87186efa0bb -- Anna’s Archive.epub","hd","ok","optional","yes","yes","Nicht-Ra: K3/K4 priorisieren."
"Human Design System - The Centres -- Peter Schoeber -- 2014 -- Human Design Services -- 87fa16d779ca4813d97e4cd989917b78 -- Anna’s Archive.pdf","andere/Human Design System - The Centres -- Peter Schoeber -- 2014 -- Human Design Services -- 87fa16d779ca4813d97e4cd989917b78 -- Anna’s Archive.pdf","hd","ok","optional","yes","yes","Nicht-Ra: K3/K4 priorisieren."
"Human design _ how to read a graph -- Steve Rhodes -- The Human Design Trilogy, 1, 2015 -- Bhan Tugh Publishing -- isbn13 9781517749897 -- 64514fef20c1a7a6536f77126f3e93c9 -- Anna’s Archive.pdf","andere/Human design _ how to read a graph -- Steve Rhodes -- The Human Design Trilogy, 1, 2015 -- Bhan Tugh Publishing -- isbn13 9781517749897 -- 64514fef20c1a7a6536f77126f3e93c9 -- Anna’s Archive.pdf","hd","ok","optional","yes","yes","Nicht-Ra: K3/K4 priorisieren."
"Intro to Human Design System -- Karen Curry Parker -- 2019 -- 67a612e0cf6aa5326a738b4ae00a94f3 -- Anna’s Archive.pdf","andere/Intro to Human Design System -- Karen Curry Parker -- 2019 -- 67a612e0cf6aa5326a738b4ae00a94f3 -- Anna’s Archive.pdf","hd","ok","optional","yes","yes","Nicht-Ra: K3/K4 priorisieren."
"Quantum Activation Cards Companion Guidebook -- Karen Curry Parker -- 2021 -- Human Design Press -- 917d6c150b197216c43057f65515b7f2 -- Anna’s Archive.pdf","andere/Quantum Activation Cards Companion Guidebook -- Karen Curry Parker -- 2021 -- Human Design Press -- 917d6c150b197216c43057f65515b7f2 -- Anna’s Archive.pdf","hd","ok","optional","yes","yes","Nicht-Ra: K3/K4 priorisieren."
"Quantum Wellness -- Karen Curry Parker -- 2025 -- Human Design Press -- isbn13 9781961347830 -- 20ae81afcd903055a4ab48b6f81f39e3 -- Anna’s Archive.epub","andere/Quantum Wellness -- Karen Curry Parker -- 2025 -- Human Design Press -- isbn13 9781961347830 -- 20ae81afcd903055a4ab48b6f81f39e3 -- Anna’s Archive.epub","hd","ok","optional","yes","yes","Nicht-Ra: K3/K4 priorisieren."
"The Encyclopedia of Quantum Human Design -- Karen Curry Parker -- 4444078c55df635c975f0226d7f31de3 -- Anna’s Archive.pdf","andere/The Encyclopedia of Quantum Human Design -- Karen Curry Parker -- 4444078c55df635c975f0226d7f31de3 -- Anna’s Archive.pdf","hd","ok","optional","yes","yes","Nicht-Ra: K3/K4 priorisieren."
"The Quantum Human -- Karen Curry Parker -- 2021 -- Human Design Press -- fc6bf768a95fdbeb3e45b8c42901a824 -- Anna’s Archive.pdf","andere/The Quantum Human -- Karen Curry Parker -- 2021 -- Human Design Press -- fc6bf768a95fdbeb3e45b8c42901a824 -- Anna’s Archive.pdf","hd","ok","optional","yes","yes","Nicht-Ra: K3/K4 priorisieren."
