filename,relative_path,system_id,status,pass_k2_struct,pass_k3_rules,pass_k4_meanings,pass_notes
Akan-Ashanti Folk-tales -- Rattray R_S_ -- 663224a9bfa819d358062569bf0aa71f.pdf,akan/Akan-Ashanti Folk-tales -- Rattray R_S_ -- 663224a9bfa819d358062569bf0aa71f.pdf,akan,ok,optional,yes,optional,
"An essay on African philosophical thought _ the Akan -- Gyekye, Kwame -- Rev_ ed_, Philadelphia, Pennsylvania, 1995 -- Philadelphia _ Temple -- isbn13 9781566393805 -- 8a6588dc002aa171312401d102441209.pdf","akan/An essay on African philosophical thought _ the Akan -- Gyekye, Kwame -- Rev_ ed_, Philadelphia, Pennsylvania, 1995 -- Philadelphia _ Temple -- isbn13 9781566393805 -- 8a6588dc002aa171312401d102441209.pdf",akan,ok,optional,yes,optional,
Ashanti -- Capt_ R_ S_ Rattray -- eab62623f2e1fe1d68f9a22cae963790.pdf,akan/Ashanti -- Capt_ R_ S_ Rattray -- eab62623f2e1fe1d68f9a22cae963790.pdf,akan,ok,optional,yes,optional,
"Ancient Astrology in Theory and Practice_ A Manual of -- Demetra George, Chris Brennan -- Illustrated, PS, 2019 -- Rubedo Press -- isbn13 9780473445393 -- 179f3a10f9781350a15bc5256ad089a3.pdf","archiv/Ancient Astrology in Theory and Practice_ A Manual of -- Demetra George, Chris Brennan -- Illustrated, PS, 2019 -- Rubedo Press -- isbn13 9780473445393 -- 179f3a10f9781350a15bc5256ad089a3.pdf",archiv,archiv_duplikat,skip,skip,skip,Archiv-Duplikat — aktive Kopie in hd/ oder i_ching/ nutzen.
Christian-Astrology-II -- William-Lilly -- c43f8b598f78793682c90fca57a90dca -- Anna’s Archive.pdf,archiv/Christian-Astrology-II -- William-Lilly -- c43f8b598f78793682c90fca57a90dca -- Anna’s Archive.pdf,archiv,archiv_duplikat,skip,skip,skip,Archiv-Duplikat — aktive Kopie in hd/ oder i_ching/ nutzen.
"Four treatises of Theophrastus von Hohenheim, called -- Paracelsus; Henry Sigerest -- 2010 -- The Johns Hopkins University Press -- isbn13 9780801855238 -- 024a9459d69f45b744b4873dbac8286c -- Anna’s Archive.epub","archiv/Four treatises of Theophrastus von Hohenheim, called -- Paracelsus; Henry Sigerest -- 2010 -- The Johns Hopkins University Press -- isbn13 9780801855238 -- 024a9459d69f45b744b4873dbac8286c -- Anna’s Archive.epub",archiv,archiv_duplikat,skip,skip,skip,Archiv-Duplikat — aktive Kopie in hd/ oder i_ching/ nutzen.
"I Ching, The Oracle of the Cosmic Way -- Moog, Hanna & Anthony, Carol K_ -- 2011 -- ICHINGBOOKS -- 812546694fbc51e0c7103c41c0929d4b -- Anna’s Archive.epub","archiv/I Ching, The Oracle of the Cosmic Way -- Moog, Hanna & Anthony, Carol K_ -- 2011 -- ICHINGBOOKS -- 812546694fbc51e0c7103c41c0929d4b -- Anna’s Archive.epub",archiv,archiv_duplikat,skip,skip,skip,Archiv-Duplikat — aktive Kopie in hd/ oder i_ching/ nutzen.
"The Complete Rave I'Ching -- Hu, Ra Uru -- US, 2011 -- CreateSpace Independent Publishing Platform -- isbn13 9781463639457 -- 6d435cc45d582500d99b71f9c2811951 -- Anna’s Archive.pdf","archiv/The Complete Rave I'Ching -- Hu, Ra Uru -- US, 2011 -- CreateSpace Independent Publishing Platform -- isbn13 9781463639457 -- 6d435cc45d582500d99b71f9c2811951 -- Anna’s Archive.pdf",archiv,archiv_duplikat,skip,skip,skip,Archiv-Duplikat — aktive Kopie in hd/ oder i_ching/ nutzen.
The Complete Rave I’Ching ( human design) -- Ra Uru Hu -- 262ddb6c289dfc294a497b40c7c37225 -- Anna’s Archive.pdf,archiv/The Complete Rave I’Ching ( human design) -- Ra Uru Hu -- 262ddb6c289dfc294a497b40c7c37225 -- Anna’s Archive.pdf,archiv,archiv_duplikat,skip,skip,skip,Archiv-Duplikat — aktive Kopie in hd/ oder i_ching/ nutzen.
"The Life Force _ the Channels, an investigation for -- Ra Uru Hu -- c0595584888bbacf1507c36c743b3d88 -- Anna’s Archive.epub","archiv/The Life Force _ the Channels, an investigation for -- Ra Uru Hu -- c0595584888bbacf1507c36c743b3d88 -- Anna’s Archive.epub",archiv,archiv_duplikat,skip,skip,skip,Archiv-Duplikat — aktive Kopie in hd/ oder i_ching/ nutzen.
"Ancient Astrology in Theory and Practice_ A Manual of -- Demetra George -- Auckland, New Zealand, 2022 -- Rubedo Press -- isbn13 9780473445393 -- cc0bd94229290713bff61ef3968b9c28.pdf","astro/Ancient Astrology in Theory and Practice_ A Manual of -- Demetra George -- Auckland, New Zealand, 2022 -- Rubedo Press -- isbn13 9780473445393 -- cc0bd94229290713bff61ef3968b9c28.pdf",astro,ok,yes,yes,optional,K2+K3 priorisieren; K4 optional.
Christian Astrology - All Three Volumes -- William Lilly -- c23c88ec29b8d5abc4dbf9a260d50232.pdf,astro/Christian Astrology - All Three Volumes -- William Lilly -- c23c88ec29b8d5abc4dbf9a260d50232.pdf,astro,ok,yes,yes,optional,K2+K3 priorisieren; K4 optional.
Christian-Astrology-II -- William-Lilly -- c43f8b598f78793682c90fca57a90dca -- Anna’s Archive.pdf,astro/Christian-Astrology-II -- William-Lilly -- c43f8b598f78793682c90fca57a90dca -- Anna’s Archive.pdf,astro,ok,yes,yes,optional,K2+K3 priorisieren; K4 optional.
"Claudius Ptolemy - Tetrabiblos, Book I__text - Greek Track -- Claudius Ptolemy, Robert Schmidt, Robert Hand -- Greek Track, 5, 1994 -- Golden Hind -- 4b90a3c04e568adeec9e6fc654355b57 -- Anna’s Archive.pdf","astro/Claudius Ptolemy - Tetrabiblos, Book I__text - Greek Track -- Claudius Ptolemy, Robert Schmidt, Robert Hand -- Greek Track, 5, 1994 -- Golden Hind -- 4b90a3c04e568adeec9e6fc654355b57 -- Anna’s Archive.pdf",astro,ok,yes,yes,optional,K2+K3 priorisieren; K4 optional.
"Dorotheus, Orpheus, Anubio & Pseudo-Valens_ Teachings on -- Dorotheus, Orpheus, Anubio & Pseudo-Valens, Robert Hand -- 1995 -- 2034771d5968de8d5a332bb062c9be3a -- Anna’s Archive.pdf","astro/Dorotheus, Orpheus, Anubio & Pseudo-Valens_ Teachings on -- Dorotheus, Orpheus, Anubio & Pseudo-Valens, Robert Hand -- 1995 -- 2034771d5968de8d5a332bb062c9be3a -- Anna’s Archive.pdf",astro,ok,yes,yes,optional,K2+K3 priorisieren; K4 optional.
"Claudius Ptolemy - Tetrabiblos, Book I__text - Greek Track -- Claudius Ptolemy, Robert Schmidt, Robert Hand -- Greek Track, 5, 1994 -- Golden Hind -- 4b90a3c04e568adeec9e6fc654355b57 -- Anna’s Archive.pdf","astro/K2/Claudius Ptolemy - Tetrabiblos, Book I__text - Greek Track -- Claudius Ptolemy, Robert Schmidt, Robert Hand -- Greek Track, 5, 1994 -- Golden Hind -- 4b90a3c04e568adeec9e6fc654355b57 -- Anna’s Archive.pdf",astro,ok,yes,yes,optional,K2+K3 priorisieren; K4 optional.
Tetrabiblos -- Peter J_ Clark -- 2006 -- f09efdc39fdca373cf532497824924b2 -- Anna’s Archive.pdf,astro/K4/Tetrabiblos -- Peter J_ Clark -- 2006 -- f09efdc39fdca373cf532497824924b2 -- Anna’s Archive.pdf,astro,ok,yes,yes,optional,K2+K3 priorisieren; K4 optional.
"Planets in Transit_ Life Cycles for Living (The Planet -- Hand, Robert -- 9th print, Rockport, Mass, 1983 -- Para Research -- isbn13 9780914918042 -- 5bfb5d4044ddef736d68344250d12fd4 -- Anna’s Archive.pdf","astro/Planets in Transit_ Life Cycles for Living (The Planet -- Hand, Robert -- 9th print, Rockport, Mass, 1983 -- Para Research -- isbn13 9780914918042 -- 5bfb5d4044ddef736d68344250d12fd4 -- Anna’s Archive.pdf",astro,ok,yes,yes,optional,K2+K3 priorisieren; K4 optional.
Tetrabiblos -- Peter J_ Clark -- 2006 -- f09efdc39fdca373cf532497824924b2 -- Anna’s Archive.pdf,astro/Tetrabiblos -- Peter J_ Clark -- 2006 -- f09efdc39fdca373cf532497824924b2 -- Anna’s Archive.pdf,astro,ok,yes,yes,optional,K2+K3 priorisieren; K4 optional.
"The astrology of personality _ a re-formulation of -- Dane Rudhyar -- 1987-12-01 -- Aurora Press, Incorporated -- isbn13 9780943358253 -- 435f03bc08534740b085616654b6a88f -- Anna’s Archive.pdf","astro/The astrology of personality _ a re-formulation of -- Dane Rudhyar -- 1987-12-01 -- Aurora Press, Incorporated -- isbn13 9780943358253 -- 435f03bc08534740b085616654b6a88f -- Anna’s Archive.pdf",astro,ok,yes,yes,optional,K2+K3 priorisieren; K4 optional.
"BaZi Essentials - The Ten Day Masters - Bing (Yang Fire) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- cd8672ce46620ffec72b2d895b71c3e2 -- Anna’s Archive.pdf","bazi/BaZi Essentials - The Ten Day Masters - Bing (Yang Fire) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- cd8672ce46620ffec72b2d895b71c3e2 -- Anna’s Archive.pdf",bazi,ok,yes,yes,optional,K2+K3 priorisieren; K4 optional.
"BaZi Essentials - The Ten Day Masters - Ding (Yin Fire) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- a6d88b587a70d968b2ce3fa05ffa1366 -- Anna’s Archive.pdf","bazi/BaZi Essentials - The Ten Day Masters - Ding (Yin Fire) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- a6d88b587a70d968b2ce3fa05ffa1366 -- Anna’s Archive.pdf",bazi,ok,yes,yes,optional,K2+K3 priorisieren; K4 optional.
"BaZi Essentials - The Ten Day Masters - Geng (Yang Metal) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 81970458e683c785171eb93326a97dfc -- Anna’s Archive.pdf","bazi/BaZi Essentials - The Ten Day Masters - Geng (Yang Metal) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 81970458e683c785171eb93326a97dfc -- Anna’s Archive.pdf",bazi,ok,yes,yes,optional,K2+K3 priorisieren; K4 optional.
"BaZi Essentials - The Ten Day Masters - Gui (Yin Water) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 5cbd41ee8e2661a8153e57391d46c965 -- Anna’s Archive.pdf","bazi/BaZi Essentials - The Ten Day Masters - Gui (Yin Water) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 5cbd41ee8e2661a8153e57391d46c965 -- Anna’s Archive.pdf",bazi,ok,yes,yes,optional,K2+K3 priorisieren; K4 optional.
