relative_path,top_folder,bucket,filename,extension,md5_annas,title_from_filename,author_from_filename,size_bytes
andere/2022 Quantum Human Design Evolution Guide_ Using Solar -- Karen Curry Parker -- 2022 -- Human Design Press -- 02c07d826099b19160f39bfbc93e4b7b -- Anna’s Archive.pdf,andere,andere,2022 Quantum Human Design Evolution Guide_ Using Solar -- Karen Curry Parker -- 2022 -- Human Design Press -- 02c07d826099b19160f39bfbc93e4b7b -- Anna’s Archive.pdf,.pdf,02c07d826099b19160f39bfbc93e4b7b,2022 Quantum Human Design Evolution Guide_ Using Solar,Karen Curry Parker,5396993
"andere/Abundance by Design -- Karen Curry Parker -- 2016 -- GracePoint Matrix, LLC -- 7d15b7564a6b0884606cf125f9b2d80b -- Anna’s Archive.pdf",andere,andere,"Abundance by Design -- Karen Curry Parker -- 2016 -- GracePoint Matrix, LLC -- 7d15b7564a6b0884606cf125f9b2d80b -- Anna’s Archive.pdf",.pdf,7d15b7564a6b0884606cf125f9b2d80b,Abundance by Design,Karen Curry Parker,8523666
"andere/BaanTu_ The Key to Your Nature and Life 1 -- Steve Rhodes -- The Human Design Trilogy, 1, 3, 2015 -- RME Publishing -- 5692198d2741d2298007eec1b5278850 -- Anna’s Archive.pdf",andere,andere,"BaanTu_ The Key to Your Nature and Life 1 -- Steve Rhodes -- The Human Design Trilogy, 1, 3, 2015 -- RME Publishing -- 5692198d2741d2298007eec1b5278850 -- Anna’s Archive.pdf",.pdf,5692198d2741d2298007eec1b5278850,BaanTu_ The Key to Your Nature and Life 1,Steve Rhodes,3764636
andere/How Do You Choose_ -- Erin Claire Jones -- 2025 -- HarperCollins -- 7db4160418580ac8fd422e29bdd3142d -- Anna’s Archive.epub,andere,andere,How Do You Choose_ -- Erin Claire Jones -- 2025 -- HarperCollins -- 7db4160418580ac8fd422e29bdd3142d -- Anna’s Archive.epub,.epub,7db4160418580ac8fd422e29bdd3142d,How Do You Choose_,Erin Claire Jones,1068757
"andere/Human design _ how to read a graph -- Steve Rhodes -- The Human Design Trilogy, 1, 2015 -- Bhan Tugh Publishing -- isbn13 9781517749897 -- 64514fef20c1a7a6536f77126f3e93c9 -- Anna’s Archive.pdf",andere,andere,"Human design _ how to read a graph -- Steve Rhodes -- The Human Design Trilogy, 1, 2015 -- Bhan Tugh Publishing -- isbn13 9781517749897 -- 64514fef20c1a7a6536f77126f3e93c9 -- Anna’s Archive.pdf",.pdf,64514fef20c1a7a6536f77126f3e93c9,Human design _ how to read a graph,Steve Rhodes,8720376
andere/Human Design Made Simple_ Unlock Your Strengths and Discover -- Emma Dunwoody -- 2025 -- Penguin Publishing Group -- d6aa37ca4a12ffeb0febf87186efa0bb -- Anna’s Archive.epub,andere,andere,Human Design Made Simple_ Unlock Your Strengths and Discover -- Emma Dunwoody -- 2025 -- Penguin Publishing Group -- d6aa37ca4a12ffeb0febf87186efa0bb -- Anna’s Archive.epub,.epub,d6aa37ca4a12ffeb0febf87186efa0bb,Human Design Made Simple_ Unlock Your Strengths and Discover,Emma Dunwoody,4143372
andere/Human Design System - The Centres -- Peter Schoeber -- 2014 -- Human Design Services -- 87fa16d779ca4813d97e4cd989917b78 -- Anna’s Archive.pdf,andere,andere,Human Design System - The Centres -- Peter Schoeber -- 2014 -- Human Design Services -- 87fa16d779ca4813d97e4cd989917b78 -- Anna’s Archive.pdf,.pdf,87fa16d779ca4813d97e4cd989917b78,Human Design System - The Centres,Peter Schoeber,9543032
andere/Intro to Human Design System -- Karen Curry Parker -- 2019 -- 67a612e0cf6aa5326a738b4ae00a94f3 -- Anna’s Archive.pdf,andere,andere,Intro to Human Design System -- Karen Curry Parker -- 2019 -- 67a612e0cf6aa5326a738b4ae00a94f3 -- Anna’s Archive.pdf,.pdf,67a612e0cf6aa5326a738b4ae00a94f3,Intro to Human Design System,Karen Curry Parker,1383610
andere/Quantum Activation Cards Companion Guidebook -- Karen Curry Parker -- 2021 -- Human Design Press -- 917d6c150b197216c43057f65515b7f2 -- Anna’s Archive.pdf,andere,andere,Quantum Activation Cards Companion Guidebook -- Karen Curry Parker -- 2021 -- Human Design Press -- 917d6c150b197216c43057f65515b7f2 -- Anna’s Archive.pdf,.pdf,917d6c150b197216c43057f65515b7f2,Quantum Activation Cards Companion Guidebook,Karen Curry Parker,2015382
andere/Quantum Wellness -- Karen Curry Parker -- 2025 -- Human Design Press -- isbn13 9781961347830 -- 20ae81afcd903055a4ab48b6f81f39e3 -- Anna’s Archive.epub,andere,andere,Quantum Wellness -- Karen Curry Parker -- 2025 -- Human Design Press -- isbn13 9781961347830 -- 20ae81afcd903055a4ab48b6f81f39e3 -- Anna’s Archive.epub,.epub,20ae81afcd903055a4ab48b6f81f39e3,Quantum Wellness,Karen Curry Parker,18610532
andere/The Encyclopedia of Quantum Human Design -- Karen Curry Parker -- 4444078c55df635c975f0226d7f31de3 -- Anna’s Archive.pdf,andere,andere,The Encyclopedia of Quantum Human Design -- Karen Curry Parker -- 4444078c55df635c975f0226d7f31de3 -- Anna’s Archive.pdf,.pdf,4444078c55df635c975f0226d7f31de3,The Encyclopedia of Quantum Human Design,Karen Curry Parker,15320803
andere/The Quantum Human -- Karen Curry Parker -- 2021 -- Human Design Press -- fc6bf768a95fdbeb3e45b8c42901a824 -- Anna’s Archive.pdf,andere,andere,The Quantum Human -- Karen Curry Parker -- 2021 -- Human Design Press -- fc6bf768a95fdbeb3e45b8c42901a824 -- Anna’s Archive.pdf,.pdf,fc6bf768a95fdbeb3e45b8c42901a824,The Quantum Human,Karen Curry Parker,5037622
andere/Understanding the Centers in Human Design_ The Facilitator's -- Robin Winn -- 2021 -- Difference Press -- a6cfe81a6b3b46e91737d7a7580d7179 -- Anna’s Archive.pdf,andere,andere,Understanding the Centers in Human Design_ The Facilitator's -- Robin Winn -- 2021 -- Difference Press -- a6cfe81a6b3b46e91737d7a7580d7179 -- Anna’s Archive.pdf,.pdf,a6cfe81a6b3b46e91737d7a7580d7179,Understanding the Centers in Human Design_ The Facilitator's,Robin Winn,6120245
"andere/Understanding the profiles in human design 3 3 -- Robin Winn MFT -- 3, 2022 -- Independently Published -- isbn13 9788443150797 -- b55f87117500f0f1992c87a3b6f9517e -- Anna’s Archive.pdf",andere,andere,"Understanding the profiles in human design 3 3 -- Robin Winn MFT -- 3, 2022 -- Independently Published -- isbn13 9788443150797 -- b55f87117500f0f1992c87a3b6f9517e -- Anna’s Archive.pdf",.pdf,b55f87117500f0f1992c87a3b6f9517e,Understanding the profiles in human design 3 3,Robin Winn MFT,1798060
"andere/Understanding Your Clients through Human Design_ The -- Robin Winn -- Washington, DC, 2020 -- Difference Press -- isbn13 9781683092742 -- b4ac5db984c548915998fd96f39f8e27 -- Anna’s Archive.pdf",andere,andere,"Understanding Your Clients through Human Design_ The -- Robin Winn -- Washington, DC, 2020 -- Difference Press -- isbn13 9781683092742 -- b4ac5db984c548915998fd96f39f8e27 -- Anna’s Archive.pdf",.pdf,b4ac5db984c548915998fd96f39f8e27,Understanding Your Clients through Human Design_ The,Robin Winn,1813661
andere/Weiser -- isbn13 9781950253296 -- d49bb8e3d9789def3039c9ab5426dd5b -- Anna’s Archive.pdf,andere,andere,Weiser -- isbn13 9781950253296 -- d49bb8e3d9789def3039c9ab5426dd5b -- Anna’s Archive.pdf,.pdf,d49bb8e3d9789def3039c9ab5426dd5b,Weiser,isbn13 9781950253296,10223216
"archiv/I Ching, The Oracle of the Cosmic Way -- Moog, Hanna & Anthony, Carol K_ -- 2011 -- ICHINGBOOKS -- 812546694fbc51e0c7103c41c0929d4b -- Anna’s Archive.epub",archiv,archiv,"I Ching, The Oracle of the Cosmic Way -- Moog, Hanna & Anthony, Carol K_ -- 2011 -- ICHINGBOOKS -- 812546694fbc51e0c7103c41c0929d4b -- Anna’s Archive.epub",.epub,812546694fbc51e0c7103c41c0929d4b,"I Ching, The Oracle of the Cosmic Way","Moog, Hanna & Anthony, Carol K_",1259706
"archiv/The Complete Rave I'Ching -- Hu, Ra Uru -- US, 2011 -- CreateSpace Independent Publishing Platform -- isbn13 9781463639457 -- 6d435cc45d582500d99b71f9c2811951 -- Anna’s Archive.pdf",archiv,archiv,"The Complete Rave I'Ching -- Hu, Ra Uru -- US, 2011 -- CreateSpace Independent Publishing Platform -- isbn13 9781463639457 -- 6d435cc45d582500d99b71f9c2811951 -- Anna’s Archive.pdf",.pdf,6d435cc45d582500d99b71f9c2811951,The Complete Rave I'Ching,"Hu, Ra Uru",8703142
archiv/The Complete Rave I’Ching ( human design) -- Ra Uru Hu -- 262ddb6c289dfc294a497b40c7c37225 -- Anna’s Archive.pdf,archiv,archiv,The Complete Rave I’Ching ( human design) -- Ra Uru Hu -- 262ddb6c289dfc294a497b40c7c37225 -- Anna’s Archive.pdf,.pdf,262ddb6c289dfc294a497b40c7c37225,The Complete Rave I’Ching ( human design),Ra Uru Hu,9875709
"archiv/The Life Force _ the Channels, an investigation for -- Ra Uru Hu -- c0595584888bbacf1507c36c743b3d88 -- Anna’s Archive.epub",archiv,archiv,"The Life Force _ the Channels, an investigation for -- Ra Uru Hu -- c0595584888bbacf1507c36c743b3d88 -- Anna’s Archive.epub",.epub,c0595584888bbacf1507c36c743b3d88,"The Life Force _ the Channels, an investigation for",Ra Uru Hu,4900414
BG5 Career and Business Consulting - Student Manual 1 -- Ra Uru Hu -- International Human Design School -- 3b88c9681c859d6532d6ea06a3946e25 -- Anna’s Archive.pdf,(root),ra_root,BG5 Career and Business Consulting - Student Manual 1 -- Ra Uru Hu -- International Human Design School -- 3b88c9681c859d6532d6ea06a3946e25 -- Anna’s Archive.pdf,.pdf,3b88c9681c859d6532d6ea06a3946e25,BG5 Career and Business Consulting - Student Manual 1,Ra Uru Hu,6521620
"Biology Design System -- Ra Uru Hu, Eleanor Haspel, Marvin Portner -- 2000 -- c9ac38146181060890f5690d4ab5f0cc -- Anna’s Archive.pdf",(root),ra_root,"Biology Design System -- Ra Uru Hu, Eleanor Haspel, Marvin Portner -- 2000 -- c9ac38146181060890f5690d4ab5f0cc -- Anna’s Archive.pdf",.pdf,c9ac38146181060890f5690d4ab5f0cc,Biology Design System,"Ra Uru Hu, Eleanor Haspel, Marvin Portner",548607
"Channels by Type 2 - Manifesting and Generating Channels -- Ra Uru Hu -- Channels by Type 2, 2015 -- HDC Publishing, Inc_ -- isbn13 9780988932319 -- c82406a22498c8d94195c2e2f22c3dfc -- Anna’s Archive.pdf",(root),ra_root,"Channels by Type 2 - Manifesting and Generating Channels -- Ra Uru Hu -- Channels by Type 2, 2015 -- HDC Publishing, Inc_ -- isbn13 9780988932319 -- c82406a22498c8d94195c2e2f22c3dfc -- Anna’s Archive.pdf",.pdf,c82406a22498c8d94195c2e2f22c3dfc,Channels by Type 2 - Manifesting and Generating Channels,Ra Uru Hu,11648377
"Channels by Type 3 - Projected Channels -- Ra Uru Hu -- Channels by Type 3, 2015 -- HDC Publishing, Inc_ -- isbn13 9780988932319 -- 6cc16e4a7ebedfa4ccab548d2004cbf9 -- Anna’s Archive.pdf",(root),ra_root,"Channels by Type 3 - Projected Channels -- Ra Uru Hu -- Channels by Type 3, 2015 -- HDC Publishing, Inc_ -- isbn13 9780988932319 -- 6cc16e4a7ebedfa4ccab548d2004cbf9 -- Anna’s Archive.pdf",.pdf,6cc16e4a7ebedfa4ccab548d2004cbf9,Channels by Type 3 - Projected Channels,Ra Uru Hu,13615439
"Channels by Type 4 - Understanding the Transit Program -- Ra Uru Hu -- Channels by Type 4, 2015 -- HDC Publishing, Inc_ -- isbn13 9780988932319 -- 65e4c037d1db12b49e49b567cb6b0a0e -- Anna’s Archive.pdf",(root),ra_root,"Channels by Type 4 - Understanding the Transit Program -- Ra Uru Hu -- Channels by Type 4, 2015 -- HDC Publishing, Inc_ -- isbn13 9780988932319 -- 65e4c037d1db12b49e49b567cb6b0a0e -- Anna’s Archive.pdf",.pdf,65e4c037d1db12b49e49b567cb6b0a0e,Channels by Type 4 - Understanding the Transit Program,Ra Uru Hu,10895897
